district,Rice,Wheat,jowar,bajra,maize,barley,small millets,ragi,arhar,moong,masur,urd,peas,khesari,other pulses,gram products,besan,other pulse products
Kupwara,8.5772,0,0,4.2886,0,0,0,0,0,0,2.57316,0,0,0,0,0,0,0
Baramula,16.3437,0,0,2.928118194,5.243731806,0,0,0,0,0,0,0,4.90311,0,0,0,0,0
Srinagar,16.6121,0,4.08169179,0.877660811,0,1.36056393,1.36056393,0.62556954,0.919567296,0,0,1.36056393,0,0,0,1.36056393,1.342934845,0
Badgam,8.4411,0,0,4.22055,0,0,0,0,0,0,2.53233,0,0,0,0,0,0,0
Pulwama,9.9548,0,2.445953578,0.525938192,0,0.815317859,0.815317859,0.374872512,0.551050651,0,0,0.815317859,0,0,0,0.815317859,0.804753631,0
Anantnag,17.211,0,0,8.6055,0,0,0,0,0,0,5.1633,0,0,0,0,0,0,0
Leh,0.7439,0.7439,0.36556131,0.078604376,0,0.12185377,0.12185377,0.056026773,0.082357572,0,0,0.12185377,0,0,0,0.12185377,0.120274888,0
Kargil,2.1566,0,0.529889449,0.113938834,0,0.176629816,0.176629816,0.081212085,0.119379177,0,0,0.176629816,0,0,0,0.176629816,0.17434119,0
Doda,6.55995,6.55995,3.223637476,0.693158726,0,1.074545825,1.074545825,0.494062148,0.726255619,0,0,1.074545825,0,0,0,1.074545825,1.060622731,0
Udhampur,8.09925,8.09925,3.980067809,0.855809238,0,1.32668927,1.32668927,0.609994413,0.896672356,0,0,1.32668927,0,0,0,1.32668927,1.309499105,0
Punch,3.6256,3.6256,1.781662975,0.383099913,0,0.593887658,0.593887658,0.273061795,0.40139214,0,0,0.593887658,0,0,0,0.593887658,0.586192543,0
Rajauri,4.767,4.767,0,1.708100299,3.058899701,0,0,0,0,0,0,0,2.8602,0,0,0,0,0
Jammu,16.67465,16.67465,8.194121393,1.761930983,0,2.731373798,2.731373798,1.255850028,1.846059536,0,0,2.731373798,0,0,0,2.731373798,2.695982869,0
Kathua,5.9863,5.9863,2.941739041,0.632543858,0,0.98057968,0.98057968,0.45085774,0.662746516,0,0,0.98057968,0,0,0,0.98057968,0.967874123,0
Chamba,4.81305,4.81305,2.365190032,0.508572109,0,0.788396677,0.788396677,0.362494504,0.532855373,0,0,0.788396677,0,0,0,0.788396677,0.778181272,0
Kangra,15.4532,15.4532,7.593886331,1.632866169,0,2.531295444,2.531295444,1.163856612,1.710832145,0,0,2.531295444,0,0,0,2.531295444,2.498496968,0
Lahul,0.3033,0.3033,0.149045228,0.032048269,0,0.049681743,0.049681743,0.022843017,0.033578507,0,0,0.049681743,0,0,0,0.049681743,0.049038007,0
Kullu,4.1242,4.1242,2.026680947,0.435784605,0,0.675560316,0.675560316,0.310613817,0.456592416,0,0,0.675560316,0,0,0,0.675560316,0.666806952,0
Mandi,11.15145,11.15145,5.479955202,1.1783207,0,1.826651734,1.826651734,0.83987063,1.234583071,0,0,1.826651734,0,0,0,1.826651734,1.80298346,0
Hamirpur,4.955,4.955,2.434945951,0.523571291,0,0.81164865,0.81164865,0.373185457,0.548570735,0,0,0.81164865,0,0,0,0.81164865,0.801131965,0
Una,0,10.0262,2.463496982,0.529710441,0,0.821165661,0.821165661,0.377561255,0.555003017,0,0,0.821165661,0,0,0,0.821165661,0.810525661,0
Bilaspur,3.98985,3.98985,1.960659758,0.421588479,0,0.653553253,0.653553253,0.300495257,0.441718455,0,0,0.653553253,0,0,0,0.653553253,0.645085039,0
Solan,5.03055,5.03055,0,5.03055,0,0,0,0,0,2.93124402,0,0,0,0,0,0,0.08708598,0
Sirmaur,4.61515,4.61515,0,1.653689762,2.961460238,0,0,0,0,0,0,0,2.76909,0,0,0,0,0
Shimla,8.05335,8.05335,0,2.885657551,5.167692449,0,0,0,0,0,0,0,4.83201,0,0,0,0,0
Kinnaur,0.8944,0.8944,0,0.320479318,0.573920682,0,0,0,0,0,0,0,0.53664,0,0,0,0,0
Gurdaspur,0,33.6969,8.279528781,1.780295603,0,2.759842927,2.759842927,1.268939762,1.865301028,0,0,2.759842927,0,0,0,2.759842927,2.724083118,0
Amritsar,0,33.7777,8.299381822,1.784564479,0,2.766460607,2.766460607,1.271982485,1.869773734,0,0,2.766460607,0,0,0,2.766460607,2.730615052,0
Kapurthala,0,15.4511,3.796427183,0.816322136,0,1.265475728,1.265475728,0.581849225,0.855299826,0,0,1.265475728,0,0,0,1.265475728,1.249078718,0
Jalandhar,0,37.4216,9.194709728,1.977081272,0,3.064903243,3.064903243,1.409202514,2.071482805,0,0,3.064903243,0,0,0,3.064903243,3.025190709,0
Hoshiarpur,0,28.5328,7.010678692,1.507462656,0,2.336892897,2.336892897,1.074472858,1.579440874,0,0,2.336892897,0,0,0,2.336892897,2.306613332,0
Nawanshahr,0,12.9174,3.173882021,0.68246012,0,1.057960674,1.057960674,0.486436511,0.715046176,0,0,1.057960674,0,0,0,1.057960674,1.044252476,0
Rupnagar,0,12.6439,3.106681444,0.668010398,0,1.035560481,1.035560481,0.476137195,0.69990651,0,0,1.035560481,0,0,0,1.035560481,1.022142527,0
Fatehgarh,0,11.7989,2.899059918,0.623366832,0,0.966353306,0.966353306,0.444316639,0.653131306,0,0,0.966353306,0,0,0,0.966353306,0.953832082,0
Ludhiana,0,44.2857,10.88125993,2.339729678,0,3.627086643,3.627086643,1.667687105,2.45144692,0,0,3.627086643,0,0,0,3.627086643,3.580089793,0
Moga,0,15.157,3.724165064,0.800784062,0,1.241388355,1.241388355,0.570774165,0.839019841,0,0,1.241388355,0,0,0,1.241388355,1.22530345,0
Firozpur,0,36.1616,8.885120233,1.910512168,0,2.961706744,2.961706744,1.361754111,2.001735164,0,0,2.961706744,0,0,0,2.961706744,2.923331347,0
Muktsar,0,15.9617,3.921884641,0.843298473,0,1.30729488,1.30729488,0.601077126,0.883564228,0,0,1.30729488,0,0,0,1.30729488,1.290356012,0
Faridkot,0,10.5313,2.587603057,0.556396199,0,0.862534352,0.862534352,0.396582039,0.582962964,0,0,0.862534352,0,0,0,0.862534352,0.851358331,0
Bathinda,0,25.3283,6.223313979,1.338160517,0,2.074437993,2.074437993,0.953799518,1.402054908,0,0,2.074437993,0,0,0,2.074437993,2.047559106,0
Mansa,0,14.0295,3.447131607,0.74121528,0,1.149043869,1.149043869,0.528315376,0.776606773,0,0,1.149043869,0,0,0,1.149043869,1.134155489,0
Sangrur,0,24.3775,5.989696763,1.287927259,0,1.996565588,1.996565588,0.917994802,1.349423116,0,0,1.996565588,0,0,0,1.996565588,1.970695708,0
Patiala,0,37.4308,9.196970223,1.977567333,0,3.065656741,3.065656741,1.409548963,2.071992074,0,0,3.065656741,0,0,0,3.065656741,3.025934444,0
SJAS Nagar (Mohali),0,11.7181,2.879206877,0.619097956,0,0.959735626,0.959735626,0.441273916,0.6486586,0,0,0.959735626,0,0,0,0.959735626,0.947300149,0
Barnala,0,10.7995,2.653501392,0.570565908,0,0.884500464,0.884500464,0.406681771,0.597809248,0,0,0.884500464,0,0,0,0.884500464,0.873039824,0
Tarn Taran,0,12.7667,3.136854135,0.674498244,0,1.045618045,1.045618045,0.480761532,0.706704137,0,0,1.045618045,0,0,0,1.045618045,1.032069773,0
Chandigarh,0,10.6128,2.607628092,0.560702058,0,0.869209364,0.869209364,0.399651122,0.587474419,0,0,0.869209364,0,0,0,0.869209364,0.857946853,0
Uttarkashi,3.4314,3.4314,1.686230784,0.362579723,0,0.562076928,0.562076928,0.258435636,0.379892153,0,0,0.562076928,0,0,0,0.562076928,0.554793991,0
Chamoli,4.5866,4.5866,2.253909808,0.484644214,0,0.751303269,0.751303269,0.345439439,0.507784971,0,0,0.751303269,0,0,0,0.751303269,0.74156849,0
Rudraprayag,2.61665,2.61665,1.285852941,0.276488964,0,0.428617647,0.428617647,0.197072801,0.289690739,0,0,0.428617647,0,0,0,0.428617647,0.423063967,0
Tehri,6.6934,6.6934,0,2.398363445,4.295036555,0,0,0,0,0,0,0,4.01604,0,0,0,0,0
Dehradun,15.56435,15.56435,7.648506764,1.644610861,0,2.549502255,2.549502255,1.172227866,1.723137621,0,0,2.549502255,0,0,0,2.549502255,2.51646787,0
Garhwal,7.8211,7.8211,3.84338159,0.82641845,0,1.281127197,1.281127197,0.589045566,0.865878218,0,0,1.281127197,0,0,0,1.281127197,1.264527388,0
Pithoragarh,5.6751,5.6751,2.788811658,0.599660834,0,0.929603886,0.929603886,0.427419736,0.628293396,0,0,0.929603886,0,0,0,0.929603886,0.917558832,0
Bageshwar,2.99695,2.99695,0,1.07386012,1.92308988,0,0,0,0,0,0,0,1.79817,0,0,0,0,0
Almora,6.4383,6.4383,3.163857218,0.680304549,0,1.054619073,1.054619073,0.484900087,0.712787681,0,0,1.054619073,0,0,0,1.054619073,1.040954173,0
Champawat,2.3187,2.3187,1.139436766,0.245006004,0,0.379812255,0.379812255,0.174632718,0.256704533,0,0,0.379812255,0,0,0,0.379812255,0.374890956,0
Nainital,4.15525,4.15525,2.041939286,0.439065511,0,0.680646429,0.680646429,0.312952346,0.460029979,0,0,0.680646429,0,0,0,0.680646429,0.671827164,0
Udham,12.9344,12.9344,0,12.9344,0,0,0,0,0,0,7.76064,0,0,0,0,0,0,0
Hardwar,0,30.3327,0,5.434371087,9.731978913,0,0,0,0,0,0,0,9.09981,0,0,0,0,0
Nainital(Hills),2.46455,2.46455,0,0.883091796,1.581458204,0,0,0,0,0,0,0,1.47873,0,0,0,0,0
Dehradun(Hills),0.7628,0.7628,0.374848995,0.080601449,0,0.124949665,0.124949665,0.057450225,0.084450001,0,0,0.124949665,0,0,0,0.124949665,0.123330669,0
Panchkula,0,8.0156,1.969480602,0.42348517,0,0.656493534,0.656493534,0.30184716,0.443705709,0,0,0.656493534,0,0,0,0.656493534,0.647987223,0
Ambala,0,18.0583,4.437031733,0.95406735,0,1.479010578,1.479010578,0.680029762,0.999622088,0,0,1.479010578,0,0,0,1.479010578,1.459846756,0
Yamunanagar,0,20.2259,4.969623947,1.068587343,0,1.656541316,1.656541316,0.761656079,1.119610174,0,0,1.656541316,0,0,0,1.656541316,1.635077195,0
Kurukshetra,0,18.9052,4.6451201,0.998811298,0,1.548373367,1.548373367,0.711921868,1.046502467,0,0,1.548373367,0,0,0,1.548373367,1.528310799,0
Kaithal,0,18.5716,4.563152596,0.981186335,0,1.521050865,1.521050865,0.699359338,1.028035949,0,0,1.521050865,0,0,0,1.521050865,1.50134232,0
Karnal,0,28.7189,7.056404569,1.517294807,0,2.352134856,2.352134856,1.081480912,1.589742489,0,0,2.352134856,0,0,0,2.352134856,2.321657798,0
Panipat,0,21.3295,5.240785032,1.126893425,0,1.746928344,1.746928344,0.803214855,1.180700251,0,0,1.746928344,0,0,0,1.746928344,1.724293061,0
Sonipat,0,28.9831,7.12132008,1.531253186,0,2.37377336,2.37377336,1.091430013,1.604367352,0,0,2.37377336,0,0,0,2.37377336,2.343015928,0
Jind,0,22.7777,5.596616387,1.203405629,0,1.865538796,1.865538796,0.857750393,1.260865754,0,0,1.865538796,0,0,0,1.865538796,1.841366655,0
Fatehabad,0,18.1382,4.456663638,0.958288676,0,1.485554546,1.485554546,0.683038594,1.004044975,0,0,1.485554546,0,0,0,1.485554546,1.466305933,0
Sirsa,0,24.5083,6.021835101,1.294837766,0,2.007278367,2.007278367,0.922920398,1.356663586,0,0,2.007278367,0,0,0,2.007278367,1.98126968,0
Hisar,0,34.7045,8.527102095,1.833529753,0,2.842367365,2.842367365,1.306883422,1.921076999,0,0,2.842367365,0,0,0,2.842367365,2.805538271,0
Bhiwani,0,29.8326,0,14.9163,0,0,0,0,0,8.691557618,0,0,0,0,0,0,0.258222382,0
Rohtak,0,19.5086,4.79337907,1.030690503,0,1.597793023,1.597793023,0.734644381,1.079903838,0,0,1.597793023,0,0,0,1.597793023,1.577090116,0
Jhajjar,0,17.8674,4.390126467,0.943981602,0,1.463375489,1.463375489,0.672840953,0.989054767,0,0,1.463375489,0,0,0,1.463375489,1.444414255,0
Mahendragarh,0,21.936,5.38980569,1.158936411,0,1.796601897,1.796601897,0.826054106,1.214273222,0,0,1.796601897,0,0,0,1.796601897,1.773322984,0
Rewari,0,17.1398,4.211350819,0.905540586,0,1.403783606,1.403783606,0.645441383,0.948778272,0,0,1.403783606,0,0,0,1.403783606,1.385594515,0
Gurgaon,0,17.2976,4.250123217,0.913877574,0,1.416707739,1.416707739,0.65138373,0.957513334,0,0,1.416707739,0,0,0,1.416707739,1.398351188,0
Faridabad,0,31.3606,7.705485973,1.656862746,0,2.568495324,2.568495324,1.180960631,1.735974509,0,0,2.568495324,0,0,0,2.568495324,2.535214843,0
Mewat,0,15.3941,3.782421944,0.813310677,0,1.260807315,1.260807315,0.57970275,0.852144576,0,0,1.260807315,0,0,0,1.260807315,1.244470795,0
North West Delhi,0,104.5515,25.688925491,5.523729949,0,8.562975164,8.562975164,3.937144233,5.787476605,0,0,8.562975164,0,0,0,8.562975164,8.452023067,0
North Delhi,0.8778,0.8778,0.431361363,0.092752952,0,0.143787121,0.143787121,0.066111442,0.097181714,0,0,0.143787121,0,0,0,0.143787121,0.141924044,0
North East Delhi,0,12.7027,3.121128954,0.671116956,0,1.040376318,1.040376318,0.478351454,0.7031614,0,0,1.040376318,0,0,0,1.040376318,1.026895964,0
East Delhi,0,3.5173,0.864221533,0.185828184,0,0.288073844,0.288073844,0.132452594,0.194701094,0,0,0.288073844,0,0,0,0.288073844,0.284341217,0
New Delhi,0,3.5856,0.881003249,0.189436652,0,0.29366775,0.29366775,0.135024599,0.198481859,0,0,0.29366775,0,0,0,0.29366775,0.289862641,0
West Delhi,0,3.6008,0.88473798,0.190239708,0,0.29491266,0.29491266,0.135596992,0.199323259,0,0,0.29491266,0,0,0,0.29491266,0.291091421,0
South West Delhi,0,5.1975,1.277056668,0.274597556,0,0.425685556,0.425685556,0.195724663,0.287709021,0,0,0.425685556,0,0,0,0.425685556,0.420169867,0
South Delhi,0,10.1348,2.490180648,0.535448064,0,0.830060216,0.830060216,0.381650855,0.5610146,0,0,0.830060216,0,0,0,0.830060216,0.819304968,0
Ganganagar,0,33.5277,8.237955335,1.771356323,0,2.745985112,2.745985112,1.262568119,1.855934916,0,0,2.745985112,0,0,0,2.745985112,2.710404861,0
Hanumangarh,0,25.7057,6.316043404,1.358099548,0,2.105347801,2.105347801,0.968011444,1.422945987,0,0,2.105347801,0,0,0,2.105347801,2.07806841,0
Bikaner,0,33.4303,8.214023575,1.766210426,0,2.738007858,2.738007858,1.258900282,1.850543313,0,0,2.738007858,0,0,0,2.738007858,2.70253097,0
Churu,0,36.1934,0,18.0967,0,0,0,0,0,10.544740367,0,0,0,0,0,0,0.313279633,0
