District,Households,Cluster,Staple
Kupwara,85772,2,Rice
Baramula,163437,4,Rice
Srinagar,166121,1,Rice
Badgam,84411,2,Rice
Pulwama,99548,1,Rice
Anantnag,172110,2,Rice
Leh,14878,1,Mix
Kargil,21566,1,Rice
Doda,131199,1,Mix
Udhampur,161985,1,Mix
Punch,72512,1,Mix
Rajauri,95340,4,Mix
Jammu,333493,1,Mix
Kathua,119726,1,Mix
Chamba,96261,1,Mix
Kangra,309064,1,Mix
Lahul,6066,1,Mix
Kullu,82484,1,Mix
Mandi,223029,1,Mix
Hamirpur,99100,1,Mix
Una,100262,1,Wheat
Bilaspur,79797,1,Mix
Solan,100611,0,Mix
Sirmaur,92303,4,Mix
Shimla,161067,4,Mix
Kinnaur,17888,4,Mix
Gurdaspur,336969,1,Wheat
Amritsar,337777,1,Wheat
Kapurthala,154511,1,Wheat
Jalandhar,374216,1,Wheat
Hoshiarpur,285328,1,Wheat
Nawanshahr,129174,1,Wheat
Rupnagar,126439,1,Wheat
Fatehgarh,117989,1,Wheat
Ludhiana,442857,1,Wheat
Moga,151570,1,Wheat
Firozpur,361616,1,Wheat
Muktsar,159617,1,Wheat
Faridkot,105313,1,Wheat
Bathinda,253283,1,Wheat
Mansa,140295,1,Wheat
Sangrur,243775,1,Wheat
Patiala,374308,1,Wheat
SJAS Nagar (Mohali),117181,1,Wheat
Barnala,107995,1,Wheat
Tarn Taran,127667,1,Wheat
Chandigarh,106128,1,Wheat
Uttarkashi,68628,1,Mix
Chamoli,91732,1,Mix
Rudraprayag,52333,1,Mix
Tehri,133868,4,Mix
Dehradun,311287,1,Mix
Garhwal,156422,1,Mix
Pithoragarh,113502,1,Mix
Bageshwar,59939,4,Mix
Almora,128766,1,Mix
Champawat,46374,1,Mix
Nainital,83105,1,Mix
Udham,258688,2,Mix
Hardwar,303327,4,Wheat
Nainital(Hills),49291,4,Mix
Dehradun(Hills),15256,1,Mix
Panchkula,80156,1,Wheat
Ambala,180583,1,Wheat
Yamunanagar,202259,1,Wheat
Kurukshetra,189052,1,Wheat
Kaithal,185716,1,Wheat
Karnal,287189,1,Wheat
Panipat,213295,1,Wheat
Sonipat,289831,1,Wheat
Jind,227777,1,Wheat
Fatehabad,181382,1,Wheat
Sirsa,245083,1,Wheat
Hisar,347045,1,Wheat
Bhiwani,298326,0,Wheat
Rohtak,195086,1,Wheat
Jhajjar,178674,1,Wheat
Mahendragarh,219360,1,Wheat
Rewari,171398,1,Wheat
Gurgaon,172976,1,Wheat
Faridabad,313606,1,Wheat
Mewat,153941,1,Wheat
North West Delhi,1045515,1,Wheat
North Delhi,17556,1,Mix
North East Delhi,127027,1,Wheat
East Delhi,35173,1,Wheat
New Delhi,35856,1,Wheat
West Delhi,36008,1,Wheat
South West Delhi,51975,1,Wheat
South Delhi,101348,1,Wheat
Ganganagar,335277,1,Wheat
Hanumangarh,257057,1,Wheat
Bikaner,334303,1,Wheat
Churu,361934,0,Wheat
Jhunjhunun,375885,1,Wheat
Alwar,537493,0,Wheat
Bharatpur,367205,0,Wheat
Dhaulpur,197882,0,Wheat
Karauli,211528,1,Wheat
Sawai,213620,1,Wheat
Dausa,223830,1,Wheat
Jaipur,1179859,0,Wheat
Sikar,432852,0,Wheat
Nagaur,543832,0,Wheat
